689, 31
689, 0
690, 0
691, 0
692, 0
693, 0
694, 0
695, 1
695, 0
696, 3
696, 0
697, 4
697, 0
698, 1
698, 0
699, 0
700, 0
701, 4
701, 0
702, 0
703, 51
703, 0
704, 4
704, 0
705, 1
705, 0
706, 0
707, 12
707, 0
708, 105
708, 0
709, 33
709, 0
710, 0
711, 0
712, 0
713, 0
714, 8
714, 0
715, 25
715, 0
716, 0
717, 1
717, 0
718, 0
719, 2
719, 0
720, 0
721, 0
722, 14
722, 0
723, 20
723, 0
724, 16
724, 0
725, 17
725, 0
726, 0
727, 0
728, 62
728, 0
729, 0
730, 1
730, 0
731, 0
732, 0
733, 8
733, 0
734, 62
734, 0
735, 2
735, 0
736, 0
737, 3
737, 0
738, 4
738, 0
739, 3
739, 0
740, 0
741, 0
742, 32
742, 0
743, 34
743, 0
744, 0
745, 2
745, 0
746, 4
746, 0
747, 0
748, 14
748, 0
749, 17
749, 0
750, 36
750, 0
751, 14
751, 0
752, 6
752, 0
753, 32
753, 0
754, 12
754, 0
755, 49
755, 0
756, 0
757, 0
758, 12
758, 0
759, 5
759, 0
760, 0
761, 10
761, 0
762, 0
763, 6
763, 0
764, 5
764, 0
765, 45
765, 0
766, 6
766, 0
767, 17
767, 0
768, 0
769, 0
770, 11
770, 0
771, 4
771, 0
772, 27
772, 0
773, 0
774, 0
775, 5
775, 0
776, 0
777, 0
778, 0
779, 15
779, 0
780, 0
781, 22
781, 0
782, 0
783, 2
783, 0
784, 32
784, 0
785, 108
785, 0
786, 0
787, 20
787, 0
788, 3
788, 0
789, 4
789, 0
790, 7
790, 0
791, 0
792, 33
792, 0
793, 0
794, 0
795, 0
796, 1
796, 0
797, 0
798, 21
798, 0
799, 8
799, 0
800, 0
801, 0
802, 0
803, 27
803, 0
804, 20
804, 0
805, 12
805, 0
806, 0
807, 4
807, 0
808, 41
808, 0
809, 51
809, 0
810, 2
810, 0
811, 1
811, 0
812, 3
812, 0
813, 4
813, 0
814, 3
814, 0
815, 5
815, 0
816, 0
817, 2
817, 0
818, 0
819, 0
820, 1
820, 0
821, 0
822, 1
822, 0
823, 46
823, 0
824, 0
825, 0
826, 11
826, 0
827, 2
827, 0
828, 0
829, 112
829, 0
830, 0
831, 0
832, 41
832, 0
833, 1
